          Var1                   Var2                    Var3                    Var4                   Var5                    Var6                     Var7                     Var8                    Var9                    Var10                    Var11                   Var12                   Var13                    Var14                   Var15                  Var16      
    _________________    ____________________    _____________________    __________________    ____________________    _____________________    _____________________    ____________________    ____________________    _____________________    _____________________    ____________________    ____________________    _____________________    ____________________    _________________

                    0       0.979111897192087                        0                     0                       0                        0                        0                       0                       0                        0                        0                       0                       0                        0                       0                    0
    0.979111897192087    -0.00155073677685637        0.782178825633819    -0.179046412818971                       0                        0                        0                       0                       0                        0                        0                       0                       0                        0                       0                    0
                    0       0.782178825633819      -0.0372846263514498                     0       0.567080717024849    -8.13090412691915e-11                        0                       0                       0                        0                        0                       0                       0                        0                       0                    0
                    0      -0.179046412818971                        0     0.679605874766828      0.0666008884528012       -0.595838349026415                        0                       0                       0                        0                        0                       0                       0                        0                       0                    0
                    0                       0        0.567080717024849    0.0666008884528012    -0.00322559487561935                        0        0.457518695038159    1.89227796547634e-11                       0                        0                        0                       0                       0                        0                       0                    0
                    0                       0    -8.13090660422531e-11    -0.595838349026415                       0       -0.409690962910768        0.343864681448756       0.336405953867945                       0                        0                        0                       0                       0                        0                       0                    0
                    0                       0                        0                     0       0.457518695038159        0.343864681448756      -0.0865906070056171                       0       0.424508295791146    -6.09873690223544e-11                        0                       0                       0                        0                       0                    0
                    0                       0                        0                     0    1.89227726576805e-11        0.336405953867945                        0     -0.0471277180945866      -0.398989564554618        0.461827872669542                        0                       0                       0                        0                       0                    0
                    0                       0                        0                     0                       0                        0        0.424508295791146      -0.398989564554618       0.286047352625927                        0       0.0533254373945551    6.71804024867267e-11                       0                        0                       0                    0
                    0                       0                        0                     0                       0                        0    -6.09873553222486e-11       0.461827872669542                       0     -0.00449889692215101       -0.464951332717383       0.224536477292399                       0                        0                       0                    0
                    0                       0                        0                     0                       0                        0                        0                       0      0.0533254373945551       -0.464951332717383       0.0673887987648179                       0      -0.493740927712493    -6.08736077821908e-12                       0                    0
                    0                       0                        0                     0                       0                        0                        0                       0    6.71804163645145e-11        0.224536477292399                        0      -0.277824989056604      -0.257253990503868        0.872463970777491                       0                    0
                    0                       0                        0                     0                       0                        0                        0                       0                       0                        0       -0.493740927712494      -0.257253990503868    -0.00227445796708718                        0       0.801591720642454                    0
                    0                       0                        0                     0                       0                        0                        0                       0                       0                        0    -6.08731506929921e-12       0.872463970777491                       0        0.333161872264487     -0.0362221839645584                    0
                    0                       0                        0                     0                       0                        0                        0                       0                       0                        0                        0                       0       0.801591720642454      -0.0362221839645584    -0.00155073677694554    0.979111897192273
                    0                       0                        0                     0                       0                        0                        0                       0                       0                        0                        0                       0                       0                        0       0.979111897192273                    0

>> 
