 Var1                   Var2                    Var3                    Var4                   Var5                     Var6                    Var7                    Var8                     Var9                    Var10                   Var11                    Var12                   Var13                   Var14                   Var15                  Var16      
    _________________    ____________________    _____________________    __________________    _____________________    _____________________    ___________________    _____________________    _____________________    ___________________    _____________________    _____________________    ___________________    _____________________    ____________________    _________________

                    0       0.979111897192087                        0                     0                        0                        0                      0                        0                        0                      0                        0                        0                      0                        0                       0                    0
    0.979111897192087    -0.00155073677685637        0.437918648174937     -0.67237533476019                        0                        0                      0                        0                        0                      0                        0                        0                      0                        0                       0                    0
                    0       0.437918648174937        0.683355729103364                     0       -0.443912604224618    -2.74779915453081e-09                      0                        0                        0                      0                        0                        0                      0                        0                       0                    0
                    0       -0.67237533476019                        0    -0.292140373251079       -0.244910851280221         0.43188359123376                      0                        0                        0                      0                        0                        0                      0                        0                       0                    0
                    0                       0       -0.443912604224618    -0.244910851280221       -0.492410279691608                        0      0.385299668588415    -3.06323995476243e-09                        0                      0                        0                        0                      0                        0                       0                    0
                    0                       0    -2.74779908475786e-09      0.43188359123376                        0       -0.142471352762555    -0.0174982624755312        0.345378490604391                        0                      0                        0                        0                      0                        0                       0                    0
                    0                       0                        0                     0        0.385299668588415      -0.0174982624755312      0.480252861373883                        0        0.390879352934137      0.288629852144296                        0                        0                      0                        0                       0                    0
                    0                       0                        0                     0    -3.06323997531996e-09        0.345378490604391                      0       0.0584101566984784    -8.60230245316236e-09      0.596043376857765                        0                        0                      0                        0                       0                    0
                    0                       0                        0                     0                        0                        0      0.390879352934137    -8.60230247392062e-09       -0.471682537599622                      0        -0.48633364545988    -4.66864275582148e-09                      0                        0                       0                    0
                    0                       0                        0                     0                        0                        0      0.288629852144296        0.596043376857765                        0    -0.0163146722580042        0.378346975860538       -0.444877076141958                      0                        0                       0                    0
                    0                       0                        0                     0                        0                        0                      0                        0        -0.48633364545988      0.378346975860538        0.209347328547202                        0     -0.447244772588802    -1.71328281048144e-09                       0                    0
                    0                       0                        0                     0                        0                        0                      0                        0    -4.66864275582148e-09     -0.444877076141958                        0       -0.492621771292618     -0.330949224572801       0.0911351538760489                       0                    0
                    0                       0                        0                     0                        0                        0                      0                        0                        0                      0       -0.447244772588802       -0.330949224572801    -0.0209475770483209                        0       0.794728164906034                    0
                    0                       0                        0                     0                        0                        0                      0                        0                        0                      0    -1.71328282638036e-09       0.0911351538760489                      0        0.994908533419057       -0.11076315776819                    0
                    0                       0                        0                     0                        0                        0                      0                        0                        0                      0                        0                        0      0.794728164906034        -0.11076315776819    -0.00155073677694554    0.979111897192273
                    0                       0                        0                     0                        0                        0                      0                        0                        0                      0                        0                        0                      0                        0       0.979111897192273                    0

>> 
