          Var1                   Var2                    Var3                   Var4                   Var5                     Var6                   Var7                    Var8                     Var9                   Var10                    Var11                   Var12                 Var13                  Var14                   Var15                  Var16      
    _________________    ____________________    ____________________    __________________    _____________________    ____________________    ___________________    _____________________    ____________________    ____________________    _____________________    ___________________    __________________    ____________________    ____________________    _________________

                    0       0.979111897192087                       0                     0                        0                       0                      0                        0                       0                       0                        0                      0                     0                       0                       0                    0
    0.979111897192087    -0.00155073677685637       0.696453377090423     0.398514776078112                        0                       0                      0                        0                       0                       0                        0                      0                     0                       0                       0                    0
                    0       0.696453377090423      -0.278777271482448                     0        0.484009930074374    1.48941947528798e-09                      0                        0                       0                       0                        0                      0                     0                       0                       0                    0
                    0       0.398514776078112                       0     0.844987309623039       -0.221170126719088      0.0419277570091447                      0                        0                       0                       0                        0                      0                     0                       0                       0                    0
                    0                       0       0.484009930074374    -0.221170126719088       -0.044795998289868                       0      0.511408000566306    -6.78714424847688e-10                       0                       0                        0                      0                     0                       0                       0                    0
                    0                       0    1.48941948562653e-09    0.0419277570091447                        0      -0.600432022656724    -0.0495213603348794        0.696887474433328                       0                       0                        0                      0                     0                       0                       0                    0
                    0                       0                       0                     0        0.511408000566307     -0.0495213603348794    -0.0474184705998321                        0         0.4152213408768      -0.280863836143462                        0                      0                     0                       0                       0                    0
                    0                       0                       0                     0    -6.78714449567353e-10       0.696887474433328                      0         0.54289841918863    5.41904773769675e-10        0.33458778618105                        0                      0                     0                       0                       0                    0
                    0                       0                       0                     0                        0                       0        0.4152213408768     5.41904770509947e-10      0.0703475745967206                       0        0.464746494730041      -0.46697359538472                     0                       0                       0                    0
                    0                       0                       0                     0                        0                       0     -0.280863836143462         0.33458778618105                       0      -0.191665562904492     2.74836440897216e-09     -0.418882593149696                     0                       0                       0                    0
                    0                       0                       0                     0                        0                       0                      0                        0       0.464746494730041    2.74836437397023e-09       -0.307040096293872                      0    -0.133884652369768    -6.8475149146963e-10                       0                    0
                    0                       0                       0                     0                        0                       0                      0                        0       -0.46697359538472      -0.418882593149695                        0    -0.0608089715966138    -0.458654085681186      -0.214453784509941                       0                    0
                    0                       0                       0                     0                        0                       0                      0                        0                       0                       0       -0.133884652369768     -0.458654085681186    -0.275477032907759                       0       0.697566919258876                    0
                    0                       0                       0                     0                        0                       0                      0                        0                       0                       0    -6.84751499817799e-10     -0.214453784509941                     0       0.845868168561419      -0.396562386478311                    0
                    0                       0                       0                     0                        0                       0                      0                        0                       0                       0                        0                      0     0.697566919258876      -0.396562386478311    -0.00155073677694554    0.979111897192273
                    0                       0                       0                     0                        0                       0                      0                        0                       0                       0                        0                      0                     0                       0       0.979111897192273                    0

>> 
