          Var1                   Var2                    Var3                    Var4                  Var5                    Var6                     Var7                    Var8                   Var9                   Var10                    Var11                  Var12                 Var13                   Var14                   Var15                  Var16      
    _________________    ____________________    _____________________    __________________    ___________________    _____________________    _____________________    ___________________    __________________    _____________________    _____________________    __________________    __________________    _____________________    ____________________    _________________

                    0       0.979111897192087                        0                     0                      0                        0                        0                      0                     0                        0                        0                     0                     0                        0                       0                    0
    0.979111897192087    -0.00155073677685637       -0.451885186096592    -0.663069462273517                      0                        0                        0                      0                     0                        0                        0                     0                     0                        0                       0                    0
                    0      -0.451885186096592       -0.581587384684211                     0     -0.575046575948918    -2.82658249043739e-09                        0                      0                     0                        0                        0                     0                     0                        0                       0                    0
                    0      -0.663069462273517                        0     0.267787944225876      0.391369878394227        0.506401763288399                        0                      0                     0                        0                        0                     0                     0                        0                       0                    0
                    0                       0       -0.575046575948918     0.391369878394227     0.0700037881294507                        0        0.248977028112945    -0.0891201768527693                     0                        0                        0                     0                     0                        0                       0                    0
                    0                       0    -2.82658239869436e-09     0.506401763288399                      0       -0.261999830975456    -1.57994766528145e-09      0.332987914889096                     0                        0                        0                     0                     0                        0                       0                    0
                    0                       0                        0                     0      0.248977028112945    -1.57994771028348e-09        0.302215427754702                      0     0.502165560204316    -2.38489782492457e-12                        0                     0                     0                        0                       0                    0
                    0                       0                        0                     0    -0.0891201768527693        0.332987914889096                        0       0.12685019631255     0.405526609778959        0.546351442694149                        0                     0                     0                        0                       0                    0
                    0                       0                        0                     0                      0                        0        0.502165560204316      0.405526609778959    -0.267132797351908                        0       0.0715250708401766     0.396842907699118                     0                        0                       0                    0
                    0                       0                        0                     0                      0                        0    -2.38489782492457e-12      0.546351442694149                     0         0.37360411388969    -2.47644234896036e-09    -0.325871713231737                     0                        0                       0                    0
                    0                       0                        0                     0                      0                        0                        0                      0    0.0715250708401767     -2.4764424114104e-09        0.987642821939946                     0    0.0342384484120071    -1.82955263012288e-09                       0                    0
                    0                       0                        0                     0                      0                        0                        0                      0     0.396842907699118       -0.325871713231737                        0    0.0172621301433292     0.478700996996984       -0.239827209222431                       0                    0
                    0                       0                        0                     0                      0                        0                        0                      0                     0                        0       0.0342384484120071     0.478700996996984     0.296329401293863                        0       0.688514668343995                    0
                    0                       0                        0                     0                      0                        0                        0                      0                     0                        0    -1.82955261147826e-09    -0.239827209222431                     0       -0.833289765439655       0.412078736030933                    0
                    0                       0                        0                     0                      0                        0                        0                      0                     0                        0                        0                     0     0.688514668343995        0.412078736030933    -0.00155073677694554    0.979111897192273
                    0                       0                        0                     0                      0                        0                        0                      0                     0                        0                        0                     0                     0                        0       0.979111897192273                    0

>> 
